Bestellnummer,Hersteller,k[N/mm] Federrate,Masse,Lr[mm] Relevante Laenge,V[Nmm] Maximale potentielle Energie,Fn[N] Hoechstkraft bei statischer Belastung,De[mm] Ausserer Windungsdurchmesser,d[mm] Drahtdurchmesser
RZ-030AI,Gutekunst,0.075,0.603,68.01333333,173.4680067,5.101,4.4,0.4
RZ-030AX,Gutekunst,0.075,0.606,68.01333333,173.4680067,5.101,4.4,0.4
RZ-030BI,Gutekunst,0.065,0.69,78.47692308,200.1553923,5.101,4.4,0.4
RZ-030BX,Gutekunst,0.065,0.693,78.47692308,200.1553923,5.101,4.4,0.4
RZ-030CI,Gutekunst,0.057,0.79,89.49122807,228.2473772,5.101,4.4,0.4
RZ-030CX,Gutekunst,0.057,0.793,89.49122807,228.2473772,5.101,4.4,0.4
RZ-030DI,Gutekunst,0.05,0.89,102.02,260.20201,5.101,4.4,0.4
RZ-030DX,Gutekunst,0.05,0.893,102.02,260.20201,5.101,4.4,0.4
RZ-030EI,Gutekunst,0.045,0.99,113.3555556,289.1133444,5.101,4.4,0.4
RZ-030EX,Gutekunst,0.045,0.993,113.3555556,289.1133444,5.101,4.4,0.4
RZ-030I,Gutekunst,0.089,0.515,57.31460674,146.1809045,5.101,4.4,0.4
RZ-030X,Gutekunst,0.088,0.518,57.96590909,147.8420511,5.101,4.4,0.4
RZ-031I,Gutekunst,0.594,0.132,10.40572391,32.15888973,6.181,3.6,0.4
RZ-031X,Gutekunst,0.582,0.135,10.62027491,32.82195962,6.181,3.6,0.4
RZ-032I,Gutekunst,0.279,0.262,22.15412186,68.46731362,6.181,3.6,0.4
RZ-032X,Gutekunst,0.276,0.265,22.39492754,69.21152355,6.181,3.6,0.4
RZ-033AI,Gutekunst,0.147,0.482,42.04761905,129.9481667,6.181,3.6,0.4
RZ-033AX,Gutekunst,0.146,0.484,42.33561644,130.8382226,6.181,3.6,0.4
RZ-033BI,Gutekunst,0.128,0.552,48.2890625,149.2373477,6.181,3.6,0.4
RZ-033BX,Gutekunst,0.127,0.554,48.66929134,150.4124449,6.181,3.6,0.4
RZ-033CI,Gutekunst,0.111,0.632,55.68468468,172.093518,6.181,3.6,0.4
RZ-033CX,Gutekunst,0.111,0.634,55.68468468,172.093518,6.181,3.6,0.4
RZ-033DI,Gutekunst,0.098,0.712,63.07142857,194.92225,6.181,3.6,0.4
RZ-033DX,Gutekunst,0.098,0.714,63.07142857,194.92225,6.181,3.6,0.4
RZ-033EI,Gutekunst,0.088,0.792,70.23863636,217.0725057,6.181,3.6,0.4
RZ-033EX,Gutekunst,0.088,0.794,70.23863636,217.0725057,6.181,3.6,0.4
RZ-033I,Gutekunst,0.173,0.412,35.7283237,110.4183844,6.181,3.6,0.4
RZ-033X,Gutekunst,0.172,0.414,35.93604651,111.0603517,6.181,3.6,0.4
RZ-034I,Gutekunst,1.247,0.103,6.055332799,22.86190898,7.551,2.9,0.4
RZ-034X,Gutekunst,1.22,0.105,6.189344262,23.36786926,7.551,2.9,0.4
